name	userID	userDate	screenName	author	messageID	messageDate	messageText
🚔🔮💎	1473984336	1370062648.0	MorganaPimmy	🚔🔮💎	935541912257417218	1511881948.0	"#GRAMMYs
Justin Bieber consegue ser indicado em 3 categorias do grammy sem nem saber cantar a música. https://t.co/nsTu9ZldNE"
COLOMBIA GONORREA$	1720661845	1378073347.0	LHgoaLsxxx	COLOMBIA GONORREA$	935541973066371073	1511881962.0	"RT @LOUlSPETERO: SELENA GOMEZ
HARRY STYLES
ARIANA GRANDE
ZAYN MALIK
DEMI LOVATO
NIALL HORAN
MILEY CYRUS
LIAM PAYNE
ED SHEERAN
JUSTIN BIEBER…"
Nayy🌈	1758981607	1378566621.0	riverftbian	Nayy🌈	935541711685718016	1511881900.0	"RT @LOUlSPETERO: SELENA GOMEZ
HARRY STYLES
ARIANA GRANDE
ZAYN MALIK
DEMI LOVATO
NIALL HORAN
MILEY CYRUS
LIAM PAYNE
ED SHEERAN
JUSTIN BIEBER…"
gabi	1877883235	1379467014.0	biwberfarofeiro	gabi	935541819881947139	1511881926.0	RT @biebizzle: nem no grammy latino foi a versão original de despacito que ganhou e sim o remix com o justin e vocês ainda chamando de esco…
Bill’s whore	1912912712	1380329267.0	ReallyReesal	Bill’s whore	935541746473332737	1511881908.0	"RT @JDBVoteSpree: Justin Bieber is now 10x #Grammys nominated artist. 
https://t.co/JcLPek8897"
bella	1942646490	1381105236.0	confidentevak	bella	935541708149927936	1511881899.0	RT @EquipeTSB: Justin Bieber está concorrendo em 3 categorias no  #GRAMMYs, hitmaker faz assim, aceita ou surta bb!! https://t.co/Zwvqq2guFN
woody	2175286366	1384051057.0	FALLTACLASSICOS	woody	935541843244220416	1511881931.0	RT @biebizzle: nem no grammy latino foi a versão original de despacito que ganhou e sim o remix com o justin e vocês ainda chamando de esco…
carolaine loves camila	2182100859	1384529050.0	camilizergirl	carolaine loves camila	935541778467508224	1511881916.0	"RT @biebersmaniabrs: Justin Bieber foi indicado no GRAMMY 2018 com ""Despacito"" juntamente com Luis Fonsi e Daddy Yankee!! Confira as catego…"
Biacoda	2204685675	1385992753.0	debicoda	Biacoda	935541867898384385	1511881937.0	RT @biebersmaniabrs: Outra foto de Justin Bieber em Whistler, Colúmbia Britânica, no Canadá - 26 de Novembro. https://t.co/aq1qjzC51I
•jay•	2232752465	1387427894.0	tylerrsjournals	•jay•	935541846398320640	1511881932.0	"RT @PopCrave: Congratulations to Justin Bieber who's nominated for 3 #GRAMMYs including ""Song of the Year"" &amp; ""Record of the Year!"" https://…"
kiki🙈	2326628921	1391626433.0	Patrick_grande	kiki🙈	935541840438353920	1511881930.0	"RT @PopCrave: #GRAMMYs Song Of The Year nominees.

• Despacito by Luis Fonsi &amp; Daddy Yankee feat. Justin Bieber
• 4:44 by JAY-Z
• Issues by…"
kiki🙈	2326628921	1391626433.0	Patrick_grande	kiki🙈	935541854438940675	1511881934.0	"RT @PopCrave: #GRAMMYS Record Of The Year nominees:

•Redbone by Childish Bambino
•Despacito by Luis Fonsi &amp; Daddy Yankee feat. Justin Bieb…"
kiki🙈	2326628921	1391626433.0	Patrick_grande	kiki🙈	935541891688431618	1511881943.0	"RT @PopCrave: #GRAMMYS Best Pop Duo/Group Performance:

• Something Just Like This by The Chainsmokers &amp; Coldplay
• Despacito by Luis Fonsi…"
milly	2334278718	1391902162.0	jbisborings	milly	935541813796134912	1511881924.0	RT @jbieberprotect: “justin bieber escorado” meus amores o despacito que bateu todos os recordes e foi ganhador de todos os premios indicad…
Rivσirσ	2344057101	1392420733.0	Isa_Rivoiro	Rivσirσ	935541711803158535	1511881900.0	Não aguento mais sair e me chamarem de Justin Bieber, última vez que fui pra balada toda vez que o cara passava per… https://t.co/dYgqR4nJAE
